,Index,yyyymm,Index,D12
,,195512,45.48,1.64
,,195601,43.82,1.67
,,195602,45.34,1.7
,,195603,48.48,1.73
,,195604,48.38,1.7533
,,195605,45.2,1.7767
,,195606,46.97,1.8
,,195607,49.39,1.8133
,,195608,47.51,1.8267
,,195609,45.35,1.84
,,195610,45.58,1.8067
,,195611,45.08,1.7733
,,195612,46.67,1.74
,,195701,44.72,1.7367
,,195702,43.26,1.7333
,,195703,44.11,1.73
,,195704,45.74,1.73
,,195705,47.43,1.73
,,195706,47.37,1.73
,,195707,47.91,1.74
,,195708,45.22,1.75
,,195709,42.42,1.76
,,195710,41.06,1.77
,,195711,41.72,1.78
,,195712,39.99,1.79
,,195801,41.7,1.7833
,,195802,40.84,1.7767
,,195803,42.1,1.77
,,195804,43.44,1.7567
,,195805,44.09,1.7433
,,195806,45.24,1.73
,,195807,47.19,1.73
,,195808,47.75,1.73
,,195809,50.06,1.73
,,195810,51.33,1.7367
,,195811,52.48,1.7433
,,195812,55.21,1.75
,,195901,55.42,1.7567
,,195902,55.41,1.7633
,,195903,55.44,1.77
,,195904,57.59,1.7767
,,195905,58.68,1.7833
,,195906,58.47,1.79
,,195907,60.51,1.7967
,,195908,59.6,1.8033
,,195909,56.88,1.81
,,195910,57.52,1.8167
,,195911,58.28,1.8233
,,195912,59.89,1.83
,,196001,55.61,1.8667
,,196002,56.12,1.9033
,,196003,55.34,1.94
,,196004,54.37,1.9433
,,196005,55.83,1.9467
,,196006,56.92,1.95
,,196007,55.51,1.95
,,196008,56.96,1.95
,,196009,53.52,1.95
,,196010,53.39,1.95
,,196011,55.54,1.95
,,196012,58.11,1.95
,,196101,61.78,1.9467
,,196102,63.44,1.9433
,,196103,65.06,1.94
,,196104,65.31,1.94
,,196105,66.56,1.94
,,196106,64.64,1.94
,,196107,66.76,1.9467
,,196108,68.07,1.9533
,,196109,66.73,1.96
,,196110,68.62,1.98
,,196111,71.32,2
,,196112,71.55,2.02
,,196201,68.84,2.0267
,,196202,69.96,2.0333
,,196203,69.55,2.04
,,196204,65.24,2.0467
,,196205,59.63,2.0533
,,196206,54.75,2.06
,,196207,58.23,2.0667
,,196208,59.12,2.0733
,,196209,56.27,2.08
,,196210,56.52,2.0967
,,196211,62.26,2.1133
,,196212,63.1,2.13
,,196301,66.2,2.1367
,,196302,64.29,2.1433
,,196303,66.57,2.15
,,196304,69.8,2.1667
,,196305,70.8,2.1833
,,196306,69.37,2.2
,,196307,69.13,2.2033
,,196308,72.5,2.2067
,,196309,71.7,2.21
,,196310,74.01,2.2333
,,196311,73.23,2.2567
,,196312,75.02,2.28
,,196401,77.04,2.2967
,,196402,77.8,2.3133
,,196403,78.98,2.33
,,196404,79.46,2.3467
,,196405,80.37,2.3633
,,196406,81.69,2.38
,,196407,83.18,2.4
,,196408,81.83,2.42
,,196409,84.18,2.44
,,196410,84.86,2.46
,,196411,84.42,2.48
,,196412,84.75,2.5
,,196501,87.56,2.5167
,,196502,87.43,2.5333
,,196503,86.16,2.55
,,196504,89.11,2.57
,,196505,88.42,2.59
,,196506,84.12,2.61
,,196507,85.25,2.6267
,,196508,87.17,2.6433
,,196509,89.96,2.66
,,196510,92.42,2.68
,,196511,91.61,2.7
,,196512,92.43,2.72
,,196601,92.88,2.74
,,196602,91.22,2.76
,,196603,89.23,2.78
,,196604,91.06,2.7967
,,196605,86.13,2.8133
,,196606,84.74,2.83
,,196607,83.6,2.85
,,196608,77.1,2.87
,,196609,76.56,2.89
,,196610,80.2,2.8833
,,196611,80.45,2.8767
,,196612,80.33,2.87
,,196701,86.61,2.88
,,196702,86.78,2.89
,,196703,90.2,2.9
,,196704,94.01,2.9
,,196705,89.08,2.9
,,196706,90.64,2.9
,,196707,94.75,2.9067
,,196708,93.64,2.9133
,,196709,96.71,2.92
,,196710,93.9,2.92
,,196711,94,2.92
,,196712,96.47,2.92
,,196801,92.24,2.93
,,196802,89.36,2.94
,,196803,90.2,2.95
,,196804,97.59,2.9633
,,196805,98.68,2.9767
,,196806,99.58,2.99
,,196807,97.74,3.0033
,,196808,98.86,3.0167
,,196809,102.67,3.03
,,196810,103.41,3.0433
,,196811,108.37,3.0567
,,196812,103.86,3.07
,,196901,103.01,3.08
,,196902,98.13,3.09
,,196903,101.51,3.1
,,196904,103.69,3.11
,,196905,103.46,3.12
,,196906,97.71,3.13
,,196907,91.83,3.1367
,,196908,95.51,3.1433
,,196909,93.12,3.15
,,196910,97.24,3.1533
,,196911,93.81,3.1567
,,196912,92.06,3.16
,,197001,85.02,3.1633
,,197002,89.5,3.1667
,,197003,89.63,3.17
,,197004,81.52,3.1733
,,197005,76.55,3.1767
,,197006,72.72,3.18
,,197007,78.05,3.1833
,,197008,81.52,3.1867
,,197009,84.21,3.19
,,197010,83.25,3.1733
,,197011,87.2,3.1567
,,197012,92.15,3.14
,,197101,95.88,3.13
,,197102,96.75,3.12
,,197103,100.31,3.11
,,197104,103.95,3.1067
,,197105,99.63,3.1033
,,197106,99.7,3.1
,,197107,95.58,3.0967
,,197108,99.03,3.0933
,,197109,98.34,3.09
,,197110,94.23,3.0833
,,197111,93.99,3.0767
,,197112,102.09,3.07
,,197201,103.94,3.07
,,197202,106.57,3.07
,,197203,107.2,3.07
,,197204,107.67,3.07
,,197205,109.53,3.07
,,197206,107.14,3.07
,,197207,107.39,3.0733
,,197208,111.09,3.0767
,,197209,110.55,3.08
,,197210,111.58,3.1033
,,197211,116.67,3.1267
,,197212,118.05,3.15
,,197301,116.03,3.1567
,,197302,111.68,3.1633
,,197303,111.52,3.17
,,197304,106.97,3.1867
,,197305,104.95,3.2033
,,197306,104.26,3.22
,,197307,108.22,3.2367
,,197308,104.25,3.2533
,,197309,108.43,3.27
,,197310,108.29,3.3067
,,197311,95.96,3.3433
,,197312,97.55,3.38
,,197401,96.57,3.4
,,197402,96.22,3.42
,,197403,93.98,3.44
,,197404,90.31,3.46
,,197405,87.28,3.48
,,197406,86,3.5
,,197407,79.31,3.53
,,197408,72.15,3.56
,,197409,63.54,3.59
,,197410,73.9,3.5933
,,197411,69.97,3.5967
,,197412,68.56,3.6
,,197501,76.98,3.6233
,,197502,81.59,3.6467
,,197503,83.36,3.67
,,197504,87.3,3.6833
,,197505,91.15,3.6967
,,197506,95.19,3.71
,,197507,88.75,3.71
,,197508,86.88,3.71
,,197509,83.87,3.71
,,197510,89.04,3.7
,,197511,91.24,3.69
,,197512,90.19,3.68
,,197601,100.86,3.6833
,,197602,99.71,3.6867
,,197603,102.77,3.69
,,197604,101.64,3.7133
,,197605,100.18,3.7367
,,197606,104.28,3.76
,,197607,103.44,3.79
,,197608,102.91,3.82
,,197609,105.24,3.85
,,197610,102.9,3.9167
,,197611,102.1,3.9833
,,197612,107.46,4.05
,,197701,102.03,4.0967
,,197702,99.82,4.1433
,,197703,98.42,4.19
,,197704,98.44,4.2467
,,197705,96.12,4.3033
,,197706,100.48,4.36
,,197707,98.85,4.4067
,,197708,96.77,4.4533
,,197709,96.53,4.5
,,197710,92.34,4.5567
,,197711,94.83,4.6133
,,197712,95.1,4.67
,,197801,89.25,4.7133
,,197802,87.04,4.7567
,,197803,89.21,4.8
,,197804,96.83,4.8367
,,197805,97.24,4.8733
,,197806,95.53,4.91
,,197807,100.68,4.9467
,,197808,103.29,4.9833
,,197809,102.54,5.02
,,197810,93.15,5.0367
,,197811,94.7,5.0533
,,197812,96.11,5.07
,,197901,99.93,5.1133
,,197902,96.28,5.1567
,,197903,101.59,5.2
,,197904,101.76,5.2467
,,197905,99.08,5.2933
,,197906,102.91,5.34
,,197907,103.81,5.3967
,,197908,109.32,5.4533
,,197909,109.32,5.51
,,197910,101.82,5.5567
,,197911,106.16,5.6033
,,197912,107.94,5.65
,,198001,114.16,5.7
,,198002,113.66,5.75
,,198003,102.09,5.8
,,198004,106.29,5.8467
,,198005,111.24,5.8933
,,198006,114.24,5.94
,,198007,121.67,5.9833
,,198008,122.38,6.0267
,,198009,125.46,6.07
,,198010,127.47,6.1
,,198011,140.52,6.13
,,198012,135.76,6.16
,,198101,129.55,6.2
,,198102,131.27,6.24
,,198103,136,6.28
,,198104,132.81,6.3167
,,198105,132.59,6.3533
,,198106,131.21,6.39
,,198107,130.92,6.4333
,,198108,122.79,6.4767
,,198109,116.18,6.52
,,198110,121.89,6.5567
,,198111,126.35,6.5933
,,198112,122.55,6.63
,,198201,120.4,6.66
,,198202,113.11,6.69
,,198203,111.96,6.72
,,198204,116.44,6.75
,,198205,111.88,6.78
,,198206,109.61,6.81
,,198207,107.09,6.8233
,,198208,119.51,6.8367
,,198209,120.42,6.85
,,198210,133.71,6.8567
,,198211,138.54,6.8633
,,198212,140.64,6.87
,,198301,145.3,6.8833
,,198302,148.06,6.8967
,,198303,152.96,6.91
,,198304,164.42,6.92
,,198305,162.39,6.93
,,198306,168.11,6.94
,,198307,162.56,6.96
,,198308,164.4,6.98
,,198309,166.07,7
,,198310,163.55,7.03
,,198311,166.4,7.06
,,198312,164.93,7.09
,,198401,163.41,7.12
,,198402,157.06,7.15
,,198403,159.18,7.18
,,198404,160.05,7.2233
,,198405,150.55,7.2667
,,198406,153.18,7.31
,,198407,150.66,7.3333
,,198408,166.68,7.3567
,,198409,166.1,7.38
,,198410,166.09,7.43
,,198411,163.58,7.48
,,198412,167.24,7.53
,,198501,179.63,7.5733
,,198502,181.19,7.6167
,,198503,180.66,7.66
,,198504,179.83,7.6867
,,198505,189.55,7.7133
,,198506,191.85,7.74
,,198507,190.92,7.7733
,,198508,188.63,7.8067
,,198509,182.08,7.84
,,198510,189.82,7.86
,,198511,202.17,7.88
,,198512,211.28,7.9
,,198601,211.78,7.94
,,198602,226.92,7.98
,,198603,238.9,8.02
,,198604,235.52,8.0467
,,198605,247.35,8.0733
,,198606,250.84,8.1
,,198607,236.12,8.1433
,,198608,252.93,8.1867
,,198609,231.32,8.23
,,198610,243.98,8.2467
,,198611,249.22,8.2633
,,198612,242.17,8.28
,,198701,274.08,8.3
,,198702,284.2,8.32
,,198703,291.7,8.34
,,198704,288.36,8.4
,,198705,290.1,8.46
,,198706,304,8.52
,,198707,318.66,8.5667
,,198708,329.8,8.6133
,,198709,321.83,8.66
,,198710,251.79,8.71
,,198711,230.3,8.76
,,198712,247.08,8.81
,,198801,257.07,8.8567
,,198802,267.82,8.9033
,,198803,258.89,8.95
,,198804,261.33,9.0433
,,198805,262.16,9.1367
,,198806,273.5,9.23
,,198807,272.02,9.3067
,,198808,261.52,9.3833
,,198809,271.91,9.46
,,198810,278.97,9.5567
,,198811,273.7,9.6533
,,198812,277.72,9.75
,,198901,297.47,9.837
,,198902,288.86,9.924
,,198903,294.87,10.011
,,198904,309.64,10.13
,,198905,320.52,10.249
,,198906,317.98,10.368
,,198907,346.08,10.49
,,198908,351.45,10.612
,,198909,349.15,10.734
,,198910,340.36,10.841
,,198911,345.99,10.948
,,198912,353.4,11.055
,,199001,329.08,11.1427
,,199002,331.89,11.2303
,,199003,339.94,11.318
,,199004,330.8,11.433
,,199005,361.23,11.548
,,199006,358.02,11.663
,,199007,356.15,11.72
,,199008,322.56,11.777
,,199009,306.05,11.834
,,199010,304,11.918
,,199011,322.22,12.002
,,199012,330.22,12.086
,,199101,343.93,12.094
,,199102,367.07,12.102
,,199103,375.22,12.11
,,199104,375.35,12.1223
,,199105,389.83,12.1347
,,199106,371.16,12.147
,,199107,387.81,12.1897
,,199108,395.43,12.2323
,,199109,387.86,12.275
,,199110,392.46,12.251
,,199111,375.22,12.227
,,199112,417.09,12.203
,,199201,408.79,12.2433
,,199202,412.7,12.2837
,,199203,403.69,12.324
,,199204,414.95,12.3227
,,199205,415.35,12.3213
,,199206,408.14,12.32
,,199207,424.21,12.345
,,199208,414.03,12.37
,,199209,417.8,12.395
,,199210,418.68,12.3917
,,199211,431.35,12.3883
,,199212,435.71,12.385
,,199301,438.78,12.4163
,,199302,443.38,12.4477
,,199303,451.67,12.479
,,199304,440.19,12.4937
,,199305,450.19,12.5083
,,199306,450.53,12.523
,,199307,448.13,12.5217
,,199308,463.56,12.5203
,,199309,458.93,12.519
,,199310,467.83,12.5383
,,199311,461.79,12.5577
,,199312,466.45,12.577
,,199401,481.61,12.6203
,,199402,467.14,12.6637
,,199403,445.77,12.707
,,199404,450.91,12.7497
,,199405,456.51,12.7923
,,199406,444.27,12.835
,,199407,458.25,12.8643
,,199408,475.5,12.8937
,,199409,462.71,12.923
,,199410,472.35,13.0053
,,199411,453.69,13.0877
,,199412,459.27,13.17
,,199501,470.42,13.17
,,199502,487.39,13.17
,,199503,500.71,13.17
,,199504,514.71,13.2337
,,199505,533.4,13.2973
,,199506,544.75,13.361
,,199507,562.06,13.4323
,,199508,561.88,13.5037
,,199509,584.41,13.575
,,199510,581.5,13.646
,,199511,605.37,13.717
,,199512,615.93,13.788
,,199601,636.02,13.8933
,,199602,640.43,13.9987
,,199603,645.5,14.104
,,199604,654.17,14.1603
,,199605,669.12,14.2167
,,199606,670.63,14.273
,,199607,639.95,14.4033
,,199608,651.99,14.5337
,,199609,687.31,14.664
,,199610,705.27,14.7423
,,199611,757.02,14.8207
,,199612,740.74,14.899
,,199701,786.16,14.9523
,,199702,790.82,15.0057
,,199703,757.12,15.059
,,199704,801.34,15.093
,,199705,848.28,15.127
,,199706,885.14,15.161
,,199707,954.29,15.2183
,,199708,899.47,15.2757
,,199709,947.28,15.333
,,199710,914.62,15.3877
,,199711,955.4,15.4423
,,199712,970.43,15.497
,,199801,980.28,15.545
,,199802,1049.34,15.593
,,199803,1101.75,15.641
,,199804,1111.75,15.744
,,199805,1090.82,15.847
,,199806,1133.84,15.95
,,199807,1120.67,16.0143
,,199808,957.28,16.0787
,,199809,1017.01,16.143
,,199810,1098.67,16.1603
,,199811,1163.63,16.1777
,,199812,1229.23,16.195
,,199901,1279.64,16.2797
,,199902,1238.33,16.3643
,,199903,1286.37,16.449
,,199904,1335.18,16.4487
,,199905,1301.84,16.4483
,,199906,1372.71,16.448
,,199907,1328.72,16.5123
,,199908,1320.41,16.5767
,,199909,1282.71,16.641
,,199910,1362.93,16.658
,,199911,1388.91,16.675
,,199912,1469.25,16.692
,,200001,1394.46,16.7153
,,200002,1366.42,16.7387
,,200003,1498.58,16.762
,,200004,1452.43,16.7427
,,200005,1420.6,16.7233
,,200006,1454.6,16.704
,,200007,1430.83,16.585
,,200008,1517.68,16.466
,,200009,1436.51,16.347
,,200010,1429.4,16.3217
,,200011,1314.95,16.2963
,,200012,1320.28,16.271
,,200101,1366.01,16.1717
,,200102,1239.94,16.0723
,,200103,1160.33,15.973
,,200104,1249.46,15.8773
,,200105,1255.82,15.7817
,,200106,1224.42,15.686
,,200107,1211.23,15.7027
,,200108,1133.58,15.7193
,,200109,1040.94,15.736
,,200110,1059.78,15.7373
,,200111,1139.45,15.7387
,,200112,1148.08,15.74
,,200201,1130.2,15.7367
,,200202,1106.73,15.7333
,,200203,1147.39,15.73
,,200204,1076.92,15.833
,,200205,1067.14,15.936
,,200206,989.81,16.039
,,200207,911.62,15.959
,,200208,916.07,15.879
,,200209,815.29,15.799
,,200210,885.76,15.8907
,,200211,936.31,15.9823
,,200212,879.82,16.074
,,200301,855.7,16.124
,,200302,841.15,16.174
,,200303,848.18,16.224
,,200304,916.92,16.2043
,,200305,963.59,16.1847
,,200306,974.51,16.165
,,200307,990.31,16.3053
,,200308,1008.01,16.4457
,,200309,995.97,16.586
,,200310,1050.71,16.8523
,,200311,1058.2,17.1187
,,200312,1111.92,17.385
,,200401,1131.13,17.598
,,200402,1144.94,17.811
,,200403,1126.21,18.024
,,200404,1107.3,18.2167
,,200405,1120.68,18.4093
,,200406,1140.84,18.602
,,200407,1101.72,18.789
,,200408,1104.24,18.976
,,200409,1114.58,19.163
,,200410,1130.2,19.256
,,200411,1173.82,19.349
,,200412,1211.92,19.442
,,200501,1181.27,19.703
,,200502,1203.6,19.964
,,200503,1180.59,20.225
,,200504,1156.85,20.4583
,,200505,1191.5,20.6917
,,200506,1191.33,20.925
,,200507,1234.18,21.107
,,200508,1220.33,21.289
,,200509,1228.81,21.471
,,200510,1207.01,21.7193
,,200511,1249.48,21.9677
,,200512,1248.29,22.216
,,200601,1280.08,22.4053
,,200602,1280.66,22.5947
,,200603,1294.87,22.784
,,200604,1310.61,23.0017
,,200605,1270.09,23.2193
,,200606,1270.2,23.437
,,200607,1276.66,23.6567
,,200608,1303.82,23.8763
,,200609,1335.85,24.096
,,200610,1377.94,24.3587
,,200611,1400.63,24.6213
,,200612,1418.3,24.884
,,200701,1438.24,25.0873
,,200702,1406.82,25.2907
,,200703,1420.86,25.494
,,200704,1482.37,25.7193
,,200705,1530.62,25.9447
,,200706,1503.35,26.17
,,200707,1455.27,26.4393
,,200708,1473.99,26.7087
,,200709,1526.75,26.978
,,200710,1549.38,27.2293
,,200711,1481.14,27.4807
,,200712,1468.36,27.732
,,200801,1378.55,27.922
,,200802,1330.63,28.112
,,200803,1322.7,28.302
,,200804,1385.59,28.4387
,,200805,1400.38,28.5753
,,200806,1280,28.712
,,200807,1267.38,28.7593
,,200808,1282.83,28.8067
,,200809,1166.36,28.854
,,200810,968.75,28.6983
,,200811,896.24,28.5427
,,200812,903.25,28.387
,,200901,825.88,28.0097
,,200902,735.09,27.6323
,,200903,797.87,27.255
,,200904,872.81,26.7013
,,200905,919.14,26.1477
,,200906,919.32,25.594
,,200907,987.48,25.0297
,,200908,1020.62,24.4653
,,200909,1057.08,23.901
,,200910,1036.19,23.4023
,,200911,1095.63,22.9037
,,200912,1115.1,22.405
,,201001,1073.87,22.238
,,201002,1104.49,22.071
,,201003,1169.43,21.904
,,201004,1186.69,21.9483
,,201005,1089.41,21.9927
,,201006,1030.71,22.037
,,201007,1101.6,22.1423
,,201008,1049.33,22.2477
,,201009,1141.2,22.353
,,201010,1183.26,22.4783
,,201011,1180.55,22.6037
,,201012,1257.64,22.729
,,201101,1286.12,22.963
,,201102,1327.22,23.197
,,201103,1325.83,23.431
,,201104,1363.61,23.7343
,,201105,1345.2,24.0377
,,201106,1320.64,24.341
,,201107,1292.28,24.621
,,201108,1218.89,24.901
,,201109,1131.42,25.181
,,201110,1253.3,25.5957
,,201111,1246.96,26.0103
,,201112,1257.6,26.425
,,201201,1312.41,26.7343
,,201202,1365.68,27.0437
,,201203,1408.47,27.353
,,201204,1397.91,27.6753
,,201205,1310.33,27.9977
,,201206,1362.16,28.32
,,201207,1379.32,28.7433
,,201208,1406.58,29.1667
,,201209,1440.67,29.59
,,201210,1412.16,30.1423
,,201211,1416.18,30.6946
,,201212,1426.19,31.2469
,,201301,1498.11,31.5353
,,201302,1514.68,31.8236
,,201303,1569.19,32.1119
,,201304,1597.57,32.4967
,,201305,1630.74,32.8815
,,201306,1606.28,33.2663
,,201307,1685.73,33.6455
,,201308,1632.97,34.0247
,,201309,1681.55,34.4039
,,201310,1756.54,34.6
,,201311,1805.81,34.796
,,201312,1848.36,34.992
,,201401,1782.59,35.4039
,,201402,1859.45,35.8158
,,201403,1872.34,36.2277
,,201404,1883.95,36.612
,,201405,1923.57,36.9963
,,201406,1960.23,37.3807
,,201407,1930.67,37.752
,,201408,2003.37,38.1233
,,201409,1972.29,38.4946
,,201410,2018.05,38.8108
,,201411,2067.56,39.127
,,201412,2058.9,39.4431
,,201501,1994.99,39.8976
,,201502,2104.5,40.3521
,,201503,2067.89,40.8066
,,201504,2085.51,41.1184
,,201505,2107.39,41.4302
,,201506,2063.11,41.742
,,201507,2103.84,41.9981
,,201508,1972.18,42.2543
,,201509,1920.03,42.5104
,,201510,2079.36,42.8029
,,201511,2080.41,43.0954
,,201512,2043.94,43.3879
,,201601,1940.24,43.5506
,,201602,1932.23,43.7133
,,201603,2059.74,43.8759
,,201604,2065.3,44.0706
,,201605,2096.95,44.2652
,,201606,2098.86,44.4599
,,201607,2173.6,44.6485
,,201608,2170.95,44.8371
,,201609,2168.27,45.0257
,,201610,2126.15,45.2507
,,201611,2198.81,45.4756
,,201612,2238.83,45.7006
,,201701,2278.87,45.9279
,,201702,2363.64,46.1552
,,201703,2362.72,46.3824
,,201704,2384.2,46.6613
,,201705,2411.8,46.9402
,,201706,2423.41,47.219
,,201707,2470.3,47.537
,,201708,2471.65,47.8551
,,201709,2519.36,48.1731
,,201710,2575.26,48.4261
,,201711,2584.84,48.679
,,201712,2673.61,48.932
,,201801,2823.81,49.289
,,201802,2713.83,49.646
,,201803,2640.87,50.003
,,201804,2648.05,50.3321
,,201805,2705.27,50.6612
,,201806,2718.37,50.9903
,,201807,2816.29,51.4399
,,201808,2901.52,51.8894
,,201809,2913.98,52.339
,,201810,2711.74,52.8087
,,201811,2760.17,53.2785
,,201812,2506.85,53.7482
,,201901,2704.1,54.1444
,,201902,2784.49,54.5407
,,201903,2834.4,54.9369
,,201904,2945.83,55.317
,,201905,2752.06,55.6972
,,201906,2941.76,56.0773
,,201907,2980.38,56.458
,,201908,2926.46,56.8388
,,201909,2976.74,57.2195
,,201910,3037.56,57.5599
,,201911,3140.98,57.9003
,,201912,3230.78,58.2406
,,202001,3225.52,58.6873
,,202002,2954.22,59.1339
,,202003,2584.59,59.5806
,,202004,2912.43,59.6149
,,202005,3044.31,59.6491
,,202006,3100.29,59.6834
,,202007,3271.12,59.406
,,202008,3500.31,59.1286
,,202009,3363,58.8512
,,202010,3269.96,58.6604
,,202011,3621.63,58.4696
,,202012,3756.07,58.2788
,,202101,3714.24,58.0637
,,202102,3811.15,57.8485
,,202103,3972.89,57.6334
,,202104,4181.17,57.7106
,,202105,4204.11,57.7878
,,202106,4297.5,57.865
,,202107,4395.26,58.3282
,,202108,4522.68,58.7913
,,202109,4307.54,59.2545
,,202110,4605.38,59.6354
,,202111,4567,60.0162
,,202112,4766.18,60.3971
