yyyymm,12M_forward,12M_Mom,9M_Mom,%_ch_D/P,5Y_val,,,,,,,,,,,,,,,,,
194001,-0.179503953,-0.020325203,0.103479853,0.042031455,0.324175824,,,,,,,,,,,,,,,,,
194002,-0.201128802,-0.04488189,0.045689655,-0.001176357,0.387871854,,,,,,,,,,,,,,,,,
194003,-0.206948865,0.115664845,0.127992634,-0.004581823,0.446280992,,,,,2-Factor Model,,,,,,,,3-Factor Model,,,,
194004,-0.269526852,0.116300366,0.012458472,0.015609334,0.313577586,,,,,OLS,Ridge,Decision Tree (min sample = 2),Gradient Boost,XGBOOST,,,,OLS,Ridge,Decision Tree,Gradient Boost,XGBOOST
194005,0.008592964,-0.200862069,-0.170840787,0.328625774,-0.032359081,,,In-Sample,Intercept,10.07%,10.07%,,,,,In-Sample,Intercept,10.16%,10.14%,,,
194006,-0.013111635,-0.081031308,-0.233486943,-0.061468187,-0.024437928,,,,5Y_val,-7.00%,-7.44%,,,,,,5Y_val,-7.43%,-7.41%,,,
194007,0.009671255,-0.145348837,-0.1979735,-0.020129177,-0.071299639,,,,9M Mom,5.48%,5.37%,,,,,,9M Mom,3.84%,3.99%,,,
194008,-0.024929383,-0.055456172,-0.13442623,-0.015774897,-0.067137809,,,,,,,,,,,,D/P,-15.65%,-13.46%,,,
194009,-0.044110698,-0.181259601,-0.146517214,0.000625391,-0.080241588,,,,,,,,,,,,,,,,,
194010,-0.153849883,-0.136399065,-0.080497925,-0.037906137,-0.110754414,,,,OOS R2,4.638%,4.637%,,,,,,OOS R2,4.883%,4.867%,,,
194011,-0.153522539,-0.130327869,-0.125309151,0.044297832,-0.180694981,,,,MSE,2.387%,2.387%,4.326%,2.572%,3.251%,,,MSE,2.381%,2.381%,5.000%,2.496%,3.170%
194012,-0.196792487,-0.152922338,-0.136326531,0.002835539,-0.212211467,,,,,,,,,,,,,,,,,
194101,-0.133673267,-0.164315353,-0.173913043,0.055820303,-0.296296296,,,,,,,,,,,,,,,,,
194102,-0.143954185,-0.18219291,0.070118662,0.02024708,-0.318213058,,,,,,,,,,,,,,,,,
194103,-0.217886311,-0.186938776,-0.002004008,0.000840958,-0.332439678,,,,,,,,,,,,,,,,,
194104,-0.195077108,-0.236259229,-0.095238095,0.075009162,-0.32389252,,,,,,,,,,,,,,,,,
194105,-0.137358416,0.008629989,-0.114583333,0.000676491,-0.350694444,,,,,,,,,,,,,,,,,
194106,-0.17121594,-0.013026052,-0.075984991,-0.046199768,-0.336253369,,,,,,,,,,,,,,,,,
194107,-0.193743615,0.009718173,-0.062274368,-0.047439009,-0.344479495,,,,,,,,,,,,OOS MSE,OLS,Ridge,Decision Tree,Gradient Boost + Tree,XGBOOST
194108,-0.178058811,-0.024621212,-0.029217719,0.013684797,-0.355847405,,,,,,,,,,,,2-Factor,2.387%,2.387%,4.326%,2.572%,3.251%
194109,-0.141970261,-0.04315197,-0.035916824,0.014586974,-0.362898189,,,,,,,,,,,,3-Factor,2.381%,2.381%,5.000%,2.496%,3.170%
194110,-0.00845671,-0.142599278,-0.056603774,0.078745865,-0.447995352,,,,,,,,,,,,,,,,,
194111,0.020664139,-0.142318567,-0.08266129,0.049002895,-0.47337963,,,,,,,,,,,,,,,,,
194112,0.117143527,-0.178638941,-0.12751004,0.052070573,-0.494179278,,,,,,,,,,,,,,,,,
194201,0.172626585,-0.125124131,-0.053705693,-0.02292897,-0.505888951,,,,,,,,,,,,,,,,,
194202,0.247296537,-0.134072581,-0.081283422,0.015986501,-0.525152018,,,,,,,,,,,,,,,,,
194203,0.368588711,-0.195783133,-0.18680203,0.062096378,-0.553013393,,,,,,,,,,,,,,,,,
194204,0.414130674,-0.177228786,-0.262752647,0.030536951,-0.533779671,,,,,,,,,,,,,,,,,
194205,0.39601363,-0.128342246,-0.208737864,-0.073944424,-0.498769988,,,,,,,,,,,,,,,,,
194206,0.397400548,-0.157360406,-0.18627451,-0.032727927,-0.461038961,,,,,,,,,,,,,,,,,
194207,0.310777787,-0.176130895,-0.098947368,-0.049913268,-0.495877503,,,,,,,,,,,,,,,,,
194208,0.314014447,-0.163106796,-0.052747253,-0.027536911,-0.462593516,,,,,,,,,,,,,,,,,
194209,0.311133733,-0.132352941,0.018411968,-0.046444014,-0.356831395,,,,,,,,,,,,,,,,,
194210,0.235382573,-0.008421053,0.069239501,-0.075662626,-0.237864078,,,,,,,,,,,,,,,,,
194211,0.170773251,0.020879121,0.081490105,-0.002629303,-0.163816382,,,,,,,,,,,,,,,,,
194212,0.17770498,0.124280783,0.219725343,-0.064977823,-0.073933649,,,,,,,,,,,,,,,,,
194301,0.123813843,0.188422247,0.366840731,-0.066857689,-0.020579981,,,,,,,,,,,,,,,,,
194302,0.071897739,0.280558789,0.349693252,-0.048181818,-0.029982363,,,,,,,,,,,,,,,,,
194303,0.037292457,0.445692884,0.395180723,-0.050086356,0.362352941,,,,,,,,,,,,,,,,,
194304,0.023871551,0.51305483,0.353971963,-0.000862813,0.194845361,,,,,,,,,,,,,,,,,
194305,0.019624506,0.485889571,0.40487239,-0.042939719,0.306364617,,,,,,,,,,,,,,,,,
194306,0.049753648,0.487951807,0.395480226,-0.019433198,0.0683391,,,,,,,,,,,,,,,,,
194307,0.084511108,0.364485981,0.239915074,0.063277078,-0.058064516,,,,,,,,,,,,,,,,,
194308,0.08290692,0.368909513,0.270182992,-0.00449711,-0.021558872,,,,,,,,,,,,,,,,,
194309,0.056330256,0.364971751,0.236438076,-0.017776579,-0.013071895,,,,,,,,,,,,,,,,,
194310,0.069663787,0.265392781,0.138490926,0.018996644,-0.09491268,,,,,,,,,,,,,,,,,
194311,0.152074375,0.186221744,0.001818182,0.087765625,-0.134328358,,,,,,,,,,,,,,,,,
194312,0.129237698,0.194472876,0.007772021,-0.050562068,-0.11657835,,,,,,,,,,,,,,,,,
194401,0.128137123,0.131805158,0.022433132,-0.009862212,-0.036585366,,,,,,,,,,,,,,,,,
194402,0.190466525,0.074545455,-0.023947151,0.008095921,-0.069291339,,,,,,,,,,,,,,,,,
194403,0.126434723,0.037996546,-0.026720648,-0.011376909,0.094717668,,,,,,,,,,,,,,,,,
194404,0.223312029,0.024158758,0.016267123,0.018026741,0.086996337,,,,,,,,,,,,,,,,,
194405,0.195060583,0.019818332,0.046610169,-0.033623569,0.064655172,,,,,,,,,,,,,,,,,
194406,0.141970261,0.051012146,0.074503311,-0.043526108,0.195211786,,,,,,,,,,,,,,,,,
194407,0.142733611,0.088184932,0.066275168,0.026592484,0.055647841,,,,,,,,,,,,,,,,,
194408,0.190478526,0.086440678,0.163339383,-0.003257705,0.146690519,,,,,,,,,,,,,,,,,
194409,0.234657604,0.05794702,0.095115681,0.008329087,-0.01843318,,,,,,,,,,,,,,,,,
194410,0.264528767,0.072147651,0.078481013,0,-0.003897116,,,,,,,,,,,,,,,,,
194411,0.292541641,0.164246824,0.085448393,-0.003897116,0.051639344,,,,,,,,,,,,,,,,,
194412,0.267909565,0.137960583,0.104825291,-0.033885542,0.0632506,,,,,,,,,,,,,,,,,
194501,0.321082385,0.136708861,0.134793597,-0.009021901,0.117842324,,,,,,,,,,,,,,,,,
194502,0.189290226,0.209813875,0.157894737,-0.053063476,0.178895301,,,,,,,,,,,,,,,,,
194503,0.281799703,0.134775374,0.050847458,0.053736838,0.113469388,,,,,,,,,,,,,,,,,
194504,0.234400706,0.250210615,0.167584579,-0.080862534,0.217391304,,,,,,,,,,,,,,,,,
194505,0.245151424,0.215384615,0.170826833,-0.011325783,0.619201726,,,,,,,,,,,,,,,,,
194506,0.208599799,0.152542373,0.17057903,0.003342246,0.498997996,,,,,,,,,,,,,,,,,
194507,0.203024366,0.153422502,0.147104851,0.025644664,0.424684159,,,,,,,,,,,,,,,,,
194508,0.070925239,0.209828393,0.208885425,-0.049884221,0.46875,,,,,,,,,,,,,,,,,
194509,-0.077159081,0.264475743,0.21686747,-0.035399771,0.515947467,,,,,,,,,,,,,,,,,
194510,-0.115083979,0.302816901,0.236080178,-0.029429429,0.502707581,,,,,,,,,,,,,,,,,
194511,-0.158523227,0.339828527,0.202097902,-0.031413613,0.620169651,,,,,,,,,,,,,,,,,
194512,-0.126315881,0.307228916,0.272727273,-0.009792627,0.640831758,,,,,,,,,,,,,,,,,
194601,-0.170437685,0.378619154,0.251347709,-0.055668804,0.84409136,,,,,,,,,,,,,,,,,
194602,-0.113236097,0.208391608,0.151232512,0.085291308,0.741935484,,,,,,,,,,,,,,,,,
194603,-0.175486562,0.325513196,0.20855615,-0.034737109,0.815261044,,,,,,,,,,,,,,,,,
194604,-0.252076217,0.264150943,0.279672578,-0.036247335,1.015037594,,,,,,,,,,,,,,,,,
194605,-0.283173655,0.27781479,0.236621534,-0.02189781,1.051336898,,,,,,,,,,,,,,,,,
194606,-0.192026665,0.231951872,0.140470297,0.04069452,0.87106599,,,,,,,,,,,,,,,,,
194607,-0.130671978,0.225102319,0.078678679,0.031149204,0.728585178,,,,,,,,,,,,,,,,,
194608,-0.083251052,0.073500967,-0.031413613,0.084046025,0.616504854,,,,,,,,,,,,,,,,,
194609,0.009976804,-0.074257426,-0.138248848,0.118316384,0.466666667,,,,,,,,,,,,,,,,,
194610,0.038987429,-0.108708709,-0.200861605,0.017874917,0.562105263,,,,,,,,,,,,,,,,,
194611,0.02157872,-0.146596859,-0.151041667,0.021171285,0.612087912,,,,,,,,,,,,,,,,,
194612,0,-0.118663594,-0.153761062,-0.032042221,0.760644419,,,,,,,,,,,,,,,,,
194701,-0.0639427,-0.156704362,-0.165245203,-0.018447466,0.777525539,,,,,,,,,,,,,,,,,
194702,-0.097256337,-0.107060185,-0.195516163,0.019743656,0.796274738,,,,,,,,,,,,,,,,,
194703,-0.005950431,-0.160951327,-0.176885513,0.021822443,0.893882647,,,,,,,,,,,,,,,,,
194704,0.059898142,-0.222814499,-0.188195991,0.059686119,0.903394256,,,,,,,,,,,,,,,,,
194705,0.144115323,-0.246611053,-0.132132132,0.027434496,0.773006135,,,,,,,,,,,,,,,,,
194706,0.095847959,-0.174715138,0.01671123,-0.033045422,0.83253012,,,,,,,,,,,,,,,,,
194707,0.005694416,-0.122494432,0.061994609,-0.022199773,0.841121495,,,,,,,,,,,,,,,,,
194708,0.041552798,-0.07987988,0.044308112,0.042080635,0.777262181,,,,,,,,,,,,,,,,,
194709,0.024837878,0.010026738,-0.012418301,0.026896774,0.707344633,,,,,,,,,,,,,,,,,
194710,0.069468023,0.039757412,-0.014687101,-3.80E-05,0.638004246,,,,,,,,,,,,,,,,,
194711,-0.016140229,0.021813224,-0.028515878,0.050534578,0.613562971,,,,,,,,,,,,,,,,,
194712,-0.006557401,0,0.008569545,-0.000388203,0.566018424,,,,,,,,,,,,,,,,,
194801,0.035443362,-0.061941252,0.007544582,0.045616552,0.403056351,,,,,,,,,,,,,,,,,
194802,0.043333125,-0.092676604,-0.031141869,0.053516203,0.272727273,,,,,,,,,,,,,,,,,
194803,-0.00132714,-0.005932762,-0.008547009,-0.067999683,0.30224525,,,,,,,,,,,,,,,,,
194804,-0.048983981,0.061728395,-0.017766497,-0.025839793,0.335634167,,,,,,,,,,,,,,,,,
194805,-0.162272247,0.155017301,0.089425587,-0.072498502,0.378199835,,,,,,,,,,,,,,,,,
194806,-0.167379977,0.100591716,0.107875579,-0.002986858,0.355465587,,,,,,,,,,,,,,,,,
194807,-0.052456182,0.00571066,0.027219702,0.064476378,0.357020548,,,,,,,,,,,,,,,,,
194808,-0.04810161,0.042428198,0.065376918,0.000132003,0.353389831,,,,,,,,,,,,,,,,,
194809,0.005793386,0.025148908,0.012418301,0.038989145,0.282284768,,,,,,,,,,,,,,,,,
194810,-0.030696087,0.071937784,0.125936011,-0.041953328,0.387583893,,,,,,,,,,,,,,,,,
194811,0.085088626,-0.016010674,0.053571429,0.146554942,0.338475499,,,,,,,,,,,,,,,,,
194812,0.097699667,-0.006535948,0.00795756,-0.008277906,0.302485004,,,,,,,,,,,,,,,,,
194901,0.113539851,0.036078965,-0.016795866,0.016619332,0.284388186,,,,,,,,,,,,,,,,,
194902,0.163681045,0.044285714,-0.124026363,0.05929388,0.236886633,,,,,,,,,,,,,,,,,
194903,0.138086077,-0.00132626,-0.100358423,-0.012386731,0.252911814,,,,,,,,,,,,,,,,,
194904,0.203688218,-0.047803618,-0.070031546,0.035575693,0.241786015,,,,,,,,,,,,,,,,,
194905,0.280254983,-0.149790294,-0.111458986,0.052772959,0.148987854,,,,,,,,,,,,,,,,,
194906,0.22257842,-0.154121864,-0.085861846,0.015358118,0.090909091,,,,,,,,,,,,,,,,,
194907,0.170729809,-0.051104101,-0.090689238,-0.052326345,0.18332022,,,,,,,,,,,,,,,,,
194908,0.190826678,-0.046963056,0.031864407,-0.005474207,0.187207488,,,,,,,,,,,,,,,,,
194909,0.22185903,0.0058102,0.025,-0.016772291,0.219092332,,,,,,,,,,,,,,,,,
194910,0.196866142,-0.030229746,0.053876478,0.002422669,0.255086072,,,,,,,,,,,,,,,,,
194911,0.194595446,0.088813559,0.098495212,0.029834895,0.251753702,,,,,,,,,,,,,,,,,
194912,0.197029882,0.102631579,0.112881806,-0.012933374,0.262048193,,,,,,,,,,,,,,,,,
195001,0.239317038,0.120236531,0.156716418,-0.008386068,0.265775798,,,,,,,,,,,,,,,,,
195002,0.235838471,0.177838577,0.213530655,-0.001262435,0.204195804,,,,,,,,,,,,,,,,,
195003,0.213262622,0.148074369,0.221045198,0.004537205,0.267595308,,,,,,,,,,,,,,,,,
195004,0.216146244,0.225915875,0.201462766,-0.034987395,0.217654987,,,,,,,,,,,,,,,,,
195005,0.136190262,0.32346723,0.23390276,-0.029651992,0.251165889,,,,,,,,,,,,,,,,,
195006,0.169616351,0.249293785,0.135430039,0.070537882,0.182486631,,,,,,,,,,,,,,,,,
195007,0.227617832,0.186170213,0.112219451,0.02737187,0.21691678,,,,,,,,,,,,,,,,,
195008,0.234157592,0.210249671,0.146948941,0.002320451,0.18762089,,,,,,,,,,,,,,,,,
195009,0.178888077,0.248395379,0.160501193,-0.021086404,0.203589109,,,,,,,,,,,,,,,,,
195010,0.160930367,0.217581047,0.145454545,0.030872689,0.172972973,,,,,,,,,,,,,,,,,
195011,0.159336012,0.214819427,0.132984901,0.034908874,0.134962187,,,,,,,,,,,,,,,,,
195012,0.152399305,0.21778043,0.180451128,-0.012731797,0.175691244,,,,,,,,,,,,,,,,,
195101,0.108402974,0.270381232,0.198671832,-0.047005138,0.166397415,,,,,,,,,,,,,,,,,
195102,0.064825177,0.265969803,0.160809372,0.004671944,0.261574074,,,,,,,,,,,,,,,,,
195103,0.129961946,0.237709659,0.209723007,0.030008125,0.183628319,,,,,,,,,,,,,,,,,
195104,0.038912013,0.241283896,0.257286996,-0.037572448,0.195628998,,,,,,,,,,,,,,,,,
195105,0.103220681,0.145899894,0.168295331,0.051395119,0.122002086,,,,,,,,,,,,,,,,,
195106,0.174658684,0.184850198,0.077634961,0.035546253,0.13727618,,,,,,,,,,,,,,,,,
195107,0.125688215,0.255605381,0.146953405,-0.072263278,0.247216036,,,,,,,,,,,,,,,,,
195108,0.072480483,0.263843648,0.193234239,-0.046136803,0.398198198,,,,,,,,,,,,,,,,,
195109,0.053569292,0.195886889,0.139637433,-0.007821715,0.554812834,,,,,,,,,,,,,,,,,
195110,0.066606999,0.174603175,0.059095106,-0.010532109,0.545822102,,,,,,,,,,,,,,,,,
195111,0.114670193,0.172731932,0.049541284,-0.022117041,0.559645535,,,,,,,,,,,,,,,,,
195112,0.111358478,0.164625184,0.110747664,-0.061860398,0.553594771,,,,,,,,,,,,,,,,,
195201,0.088735932,0.114496768,0.076237182,-0.013022704,0.541507024,,,,,,,,,,,,,,,,,
195202,0.107507822,0.066972477,0.080855019,0.040329923,0.507453014,,,,,,,,,,,,,,,,,
195203,0.037056193,0.138785047,0.16269084,-0.043324545,0.606460119,,,,,,,,,,,,,,,,,
195204,0.054247759,0.039679001,0.041071429,0.052385065,0.599451303,,,,,,,,,,,,,,,,,
195205,0.028101023,0.108736059,0.024914089,-0.015797279,0.651211073,,,,,,,,,,,,,,,,,
195206,-0.033404328,0.190839695,0.073086844,-0.037432114,0.641025641,,,,,,,,,,,,,,,,,
195207,-0.025923685,0.133928571,0.107236269,-0.017322835,0.611675127,,,,,,,,,,,,,,,,,
195208,-0.070763744,0.075171821,0.093968531,0.014782261,0.63381201,,,,,,,,,,,,,,,,,
195209,-0.049707455,0.055030095,0.032393774,0.0199674,0.624090007,,,,,,,,,,,,,,,,,
195210,0.000815328,0.068875327,0.015741508,-0.008364235,0.589112119,,,,,,,,,,,,,,,,,
195211,-0.035703911,0.121503497,0.103181427,-0.053339685,0.711807872,,,,,,,,,,,,,,,,,
195212,-0.068535962,0.117795541,0.090274928,-0.043273594,0.736601307,,,,,,,,,,,,,,,,,
195301,-0.01143741,0.092792046,0.131217839,0.007202426,0.795779442,,,,,,,,,,,,,,,,,
195302,0.009606222,0.11349957,0.085498743,0.018532819,0.85,,,,,,,,,,,,,,,,,
195303,0.06320311,0.037751334,0.013221154,0.024120206,0.677055703,,,,,,,,,,,,,,,,,
195304,0.137888257,0.055746141,-0.030708661,0.029617764,0.590439276,,,,,,,,,,,,,,,,,
195305,0.173521746,0.028499581,-0.019576508,0.005673543,0.470341522,,,,,,,,,,,,,,,,,
195306,0.190640901,-0.032852564,-0.016299919,0.018937963,0.442054958,,,,,,,,,,,,,,,,,
195307,0.221283236,-0.025590551,0.009380098,-0.024646465,0.561514196,,,,,,,,,,,,,,,,,
195308,0.246203237,-0.068318018,-0.091192518,0.061320755,0.460237946,,,,,,,,,,,,,,,,,
195309,0.324779796,-0.048492258,-0.121189311,-0.001284797,0.507424145,,,,,,,,,,,,,,,,,
195310,0.255381128,0.000815661,-0.06974981,-0.041791499,0.483675937,,,,,,,,,,,,,,,,,
195311,0.324165103,-0.035074045,-0.044015444,-0.001954427,0.678644068,,,,,,,,,,,,,,,,,
195312,0.371716431,-0.06624012,-0.018979834,0.004915133,0.632236842,,,,,,,,,,,,,,,,,
195401,0.33969884,-0.011372252,0.059301381,-0.04430064,0.713534823,,,,,,,,,,,,,,,,,
195402,0.340561107,0.00965251,0.065607172,0.001841796,0.788645691,,,,,,,,,,,,,,,,,
195403,0.305889472,0.065243179,0.115990058,-0.02488,0.788844622,,,,,,,,,,,,,,,,,
195404,0.295085596,0.147847279,0.141818182,-0.051054061,0.917232022,,,,,,,,,,,,,,,,,
195405,0.261388745,0.189486553,0.251715266,-0.036226879,1.057082452,,,,,,,,,,,,,,,,,
195406,0.33979239,0.210024855,0.250963597,-0.005280985,1.062853107,,,,,,,,,,,,,,,,,
195407,0.343111877,0.247676768,0.258353708,-0.04970951,1.053191489,,,,,,,,,,,,,,,,,
195408,0.369862827,0.27915952,0.204765751,0.039889734,0.959921156,,,,,,,,,,,,,,,,,
195409,0.301284588,0.38372591,0.302297461,-0.072529174,1.07381258,,,,,,,,,,,,,,,,,
195410,0.290046699,0.290953545,0.214723926,0.036051909,0.975062344,,,,,,,,,,,,,,,,,
195411,0.284537531,0.382875606,0.309369025,-0.060267951,1.132004981,,,,,,,,,,,,,,,,,
195412,0.23430944,0.450221685,0.335560505,-0.033740824,1.146778043,,,,,,,,,,,,,,,,,
195501,0.179222757,0.40452454,0.296178344,-0.013471571,1.148387097,,,,,,,,,,,,,,,,,
195502,0.209779348,0.405736138,0.259335389,0.000715606,1.134727062,,,,,,,,,,,,,,,,,
195503,0.281649699,0.35783222,0.252310852,0.009255344,1.1156738,,,,,,,,,,,,,,,,,
195504,0.242553531,0.343241331,0.229274611,-0.034315575,1.100719424,,,,,,,,,,,,,,,,,
195505,0.175882157,0.298732443,0.270868253,0.003496668,1.018636848,,,,,,,,,,,,,,,,,
195506,0.135205594,0.40465594,0.269885484,-0.074095752,1.319389486,,,,,,,,,,,,,,,,,
195507,0.126527372,0.409326425,0.373737374,-0.047186724,1.439461883,,,,,,,,,,,,,,,,,
195508,0.09556279,0.447536038,0.261098131,0.018418359,1.344191097,,,,,,,,,,,,,,,,,
195509,0.037748809,0.351593934,0.21372985,-0.000921374,1.245244216,,,,,,,,,,,,,,,,,
195510,0.073736758,0.336489899,0.155883156,0.035678094,1.167946749,,,,,,,,,,,,,,,,,
195511,-0.009493393,0.329147196,0.238030468,-0.065880338,1.332649923,,,,,,,,,,,,,,,,,
195512,0.025828891,0.264035575,0.243302351,0.004764461,1.228319451,,,,,,,,,,,,,,,,,
195601,0.020330495,0.196287196,0.154373024,0.056867896,1.023084026,,,,,,,,,,,,,,,,,
195602,-0.046961225,0.233405876,0.195990504,-0.016162646,1.079816514,,,,,,,,,,,,,,,,,
195603,-0.094464828,0.325314379,0.181574458,-0.0482649,1.265420561,,,,,,,,,,,,,,,,,
195604,-0.056113317,0.274499473,0.111672794,0.015563016,1.156932679,,,,,,,,,,,,,,,,,
195605,0.048157853,0.192297547,0.046780917,0.084639206,1.100371747,,,,,,,,,,,,,,,,,
195606,0.008480017,0.144772118,0.075566751,-0.025063618,1.240935115,,,,,,,,,,,,,,,,,
195607,-0.030423724,0.134880515,0.166509211,-0.041970923,1.204910714,,,,,,,,,,,,,,,,,
195608,-0.049400748,0.100277906,0.043946385,0.047252879,1.04080756,,,,,,,,,,,,,,,,,
195609,-0.066790227,0.038470346,-0.002858399,0.055257222,0.949699054,,,,,,,,,,,,,,,,,
195610,-0.104434612,0.076523382,0.040164309,-0.023052576,0.986922406,,,,,,,,,,,,,,,,,
195611,-0.077458059,-0.009448473,-0.005734451,-0.007600394,0.97027972,,,,,,,,,,,,,,,,,
195612,-0.154472137,0.026165347,-0.037334983,-0.052207777,0.963399243,,,,,,,,,,,,,,,,,
195701,-0.0699197,0.020538567,-0.075651095,0.041625401,0.852526926,,,,,,,,,,,,,,,,,
195702,-0.057566427,-0.045875607,-0.042920354,0.031725614,0.859845228,,,,,,,,,,,,,,,,,
195703,-0.046638773,-0.090140264,-0.06088993,-0.021137202,0.81001231,,,,,,,,,,,,,,,,,
195704,-0.051592513,-0.054568003,-0.0739016,-0.035636205,0.961406518,,,,,,,,,,,,,,,,,
195705,-0.073021941,0.049336283,-0.001683856,-0.035631457,0.987845767,,,,,,,,,,,,,,,,,
195706,-0.046007466,0.008516074,0.044542448,0.001266624,0.897836538,,,,,,,,,,,,,,,,,
195707,-0.015142245,-0.02996558,0.051118912,-0.005555938,0.886220472,,,,,,,,,,,,,,,,,
195708,0.0544396,-0.048200379,0.00310559,0.065575958,0.806632042,,,,,,,,,,,,,,,,,
195709,0.165602337,-0.0646086,-0.091064924,0.072098067,0.728606357,,,,,,,,,,,,,,,,,
195710,0.223240965,-0.099166301,-0.081842576,0.038992273,0.674551387,,,,,,,,,,,,,,,,,
195711,0.229451515,-0.074534161,-0.035598706,-0.01025941,0.625876851,,,,,,,,,,,,,,,,,
195712,0.322514673,-0.143132633,-0.093402856,0.049121831,0.505080918,,,,,,,,,,,,,,,,,
195801,0.284439411,-0.067531306,-0.088325317,-0.04459672,0.580742987,,,,,,,,,,,,,,,,,
195802,0.30509809,-0.055940823,-0.138941598,0.017278848,0.576833977,,,,,,,,,,,,,,,,,
195803,0.275253614,-0.045567898,-0.111251847,-0.033586915,0.664689601,,,,,,,,,,,,,,,,,
195804,0.281968266,-0.050284215,-0.093299937,-0.03812948,0.764419171,,,,,,,,,,,,,,,,,
195805,0.285865954,-0.070419566,-0.024988943,-0.022258055,0.796658517,,,,,,,,,,,,,,,,,
195806,0.256532151,-0.044965168,0.066478076,-0.032855257,0.874067937,,,,,,,,,,,,,,,,,
195807,0.248626635,-0.015028178,0.149293717,-0.041322314,0.906666667,,,,,,,,,,,,,,,,,
195808,0.221676507,0.055948695,0.144534995,-0.011727749,1.047598628,,,,,,,,,,,,,,,,,
195809,0.127721499,0.180103725,0.251812953,-0.046144626,1.143897216,,,,,,,,,,,,,,,,,
195810,0.113857337,0.250121773,0.230935252,-0.020964855,1.091687042,,,,,,,,,,,,,,,,,
195811,0.104826837,0.257909875,0.285014691,-0.018196075,1.119547658,,,,,,,,,,,,,,,,,
195812,0.08136545,0.380595149,0.311401425,-0.045794319,1.225312374,,,,,,,,,,,,,,,,,
195901,0.003422502,0.329016787,0.275782689,2.48E-05,1.125,,,,,,,,,,,,,,,,,
195902,0.012732172,0.35675808,0.256747562,0.003938195,1.118929254,,,,,,,,,,,,,,,,,
195903,-0.001805381,0.316864608,0.225464191,0.003256512,1.057906459,,,,,,,,,,,,,,,,,
195904,-0.05753641,0.325736648,0.220385675,-0.033688876,1.037862703,,,,,,,,,,,,,,,,,
195905,-0.049787594,0.330914039,0.228900524,-0.014929574,1.010277492,,,,,,,,,,,,,,,,,
195906,-0.026867029,0.292440318,0.167998402,0.007362159,1.001711743,,,,,,,,,,,,,,,,,
195907,-0.086245456,0.282263191,0.178842782,-0.030096609,0.959520725,,,,,,,,,,,,,,,,,
195908,-0.045306307,0.248167539,0.135670732,0.018997945,0.997988602,,,,,,,,,,,,,,,,,
195909,-0.06088837,0.136236516,0.030248143,0.051713053,0.760445682,,,,,,,,,,,,,,,,,
