yyyymm,12M_forward,12M_Mom,9M_Mom,%_ch_D/P,5Y_val,,,,,,,,,,,,,,,,,
195910,-0.074509251,0.120592246,0.037892458,-0.007466094,0.815656566,,,,,,,,,,,,,,,,,
195911,-0.048155499,0.110518293,0.051795705,-0.009454909,0.702102804,,,,,,,,,,,,,,,,,
195912,-0.03017178,0.084767252,0.080266955,-0.023306747,0.664535853,,,,,,,,,,,,,,,,,
196001,0.105216646,0.003428365,-0.034380969,0.098562717,0.518154518,,,,,,,,,,,,,,,,,
196002,0.122602322,0.012813572,-0.043626449,0.010340943,0.526659412,,,,,,,,,,,,,,,,,
196003,0.161813947,-0.001803752,-0.053531726,0.033648765,0.512848551,,,,,,,,,,,,,,,,,
196004,0.183332633,-0.055912485,-0.101470831,0.0195721,0.432297155,,,,,,,,,,,,,,,,,
196005,0.175792437,-0.048568507,-0.063255034,-0.024446967,0.472698496,,,,,,,,,,,,,,,,,
196006,0.127186641,-0.026509321,0.000703235,-0.017486969,0.387277602,,,,,,,,,,,,,,,,,
196007,0.184540914,-0.08263097,-0.034944367,0.025400829,0.275505515,,,,,,,,,,,,,,,,,
196008,0.17818732,-0.044295302,-0.022649279,-0.025456461,0.319129226,,,,,,,,,,,,,,,,,
196009,0.220599211,-0.05907173,-0.106361663,0.064275037,0.225555301,,,,,,,,,,,,,,,,,
196010,0.250960575,-0.071801113,-0.039920878,0.002434913,0.260982522,,,,,,,,,,,,,,,,,
196011,0.250073311,-0.047014413,-0.010334996,-0.038710839,0.220391123,,,,,,,,,,,,,,,,,
196012,0.20805874,-0.029721155,0.05005421,-0.044226467,0.277704485,,,,,,,,,,,,,,,,,
196101,0.108205284,0.110951268,0.136288394,-0.060996115,0.409858512,,,,,,,,,,,,,,,,,
196102,0.097829073,0.130434783,0.136306645,-0.027867301,0.399205999,,,,,,,,,,,,,,,,,
196103,0.066735997,0.175641489,0.14300773,-0.026555951,0.3419967,,,,,,,,,,,,,,,,,
196104,-0.001072386,0.201213905,0.176544767,-0.003827898,0.349937991,,,,,,,,,,,,,,,,,
196105,-0.109944993,0.192190579,0.168539326,-0.018780048,0.472566372,,,,,,,,,,,,,,,,,
196106,-0.166056046,0.135628953,0.207772795,0.02970297,0.376197573,,,,,,,,,,,,,,,,,
196107,-0.136703413,0.202666186,0.250421427,-0.028411605,0.351690626,,,,,,,,,,,,,,,,,
196108,-0.140967311,0.195049157,0.225603169,-0.015919789,0.432751,,,,,,,,,,,,,,,,,
196109,-0.170493093,0.246823617,0.148339356,0.023579895,0.471444322,,,,,,,,,,,,,,,,,
196110,-0.19398948,0.285259412,0.110715442,-0.01761996,0.505484862,,,,,,,,,,,,,,,,,
196111,-0.135857628,0.284119553,0.124211854,-0.028138933,0.582076309,,,,,,,,,,,,,,,,,
196112,-0.125675736,0.231285493,0.099754073,0.006753319,0.533104778,,,,,,,,,,,,,,,,,
196201,-0.039104508,0.114276465,0.054049916,0.042814052,0.539355993,,,,,,,,,,,,,,,,,
196202,-0.084519552,0.102774275,0.051081731,-0.012804757,0.617198336,,,,,,,,,,,,,,,,,
196203,-0.043791893,0.069013219,0.075959158,0.0092096,0.576739968,,,,,,,,,,,,,,,,,
196204,0.067561232,-0.001071811,-0.022768125,0.069565052,0.426322693,,,,,,,,,,,,,,,,,
196205,0.171700198,-0.104116587,-0.12399001,0.097608245,0.257221168,,,,,,,,,,,,,,,,,
196206,0.236677129,-0.153001238,-0.179529447,0.092686303,0.155794807,,,,,,,,,,,,,,,,,
196207,0.171588104,-0.12777112,-0.151413582,-0.056704956,0.215403882,,,,,,,,,,,,,,,,,
196208,0.204017285,-0.131482298,-0.171060011,-0.011908706,0.307386112,,,,,,,,,,,,,,,,,
196209,0.242329214,-0.156751086,-0.213556953,0.054043896,0.326496935,,,,,,,,,,,,,,,,,
196210,0.269605661,-0.17633343,-0.178965718,0.00357012,0.376522163,,,,,,,,,,,,,,,,,
196211,0.162286008,-0.12703309,-0.110062893,-0.085006741,0.492329818,,,,,,,,,,,,,,,,,
196212,0.173033975,-0.118099231,-0.092739037,-0.005515067,0.577894474,,,,,,,,,,,,,,,,,
196301,0.151644305,-0.038349797,0.014714899,-0.043829553,0.587529976,,,,,,,,,,,,,,,,,
196302,0.190737333,-0.081046312,0.078148583,0.032889774,0.574191969,,,,,,,,,,,,,,,,,
196303,0.17094063,-0.042846873,0.215890411,-0.031230707,0.581235154,,,,,,,,,,,,,,,,,
196304,0.129619741,0.069895769,0.198694831,-0.038867069,0.606813996,,,,,,,,,,,,,,,,,
196305,0.126781972,0.187321818,0.197564276,-0.006571085,0.605806305,,,,,,,,,,,,,,,,,
196306,0.163477098,0.267031963,0.232806113,0.028420747,0.533377542,,,,,,,,,,,,,,,,,
196307,0.185018144,0.187188734,0.223106865,0.004976928,0.46492901,,,,,,,,,,,,,,,,,
196308,0.121057363,0.22631935,0.164471571,-0.045011348,0.518324607,,,,,,,,,,,,,,,,,
196309,0.160466616,0.274213613,0.136291601,0.012669732,0.432281262,,,,,,,,,,,,,,,,,
196310,0.136802621,0.309447983,0.117975831,-0.02099808,0.441846873,,,,,,,,,,,,,,,,,
196311,0.142199167,0.176196595,0.139057396,0.021240743,0.39538872,,,,,,,,,,,,,,,,,
196312,0.121951002,0.188906498,0.126934054,-0.013781846,0.358811809,,,,,,,,,,,,,,,,,
196401,0.127999505,0.163746224,0.103724928,-0.019087635,0.390111873,,,,,,,,,,,,,,,,,
196402,0.116697042,0.210141546,0.098870056,-0.002611481,0.404078686,,,,,,,,,,,,,,,,,
196403,0.087011377,0.186420309,0.138532507,-0.007829224,0.424603175,,,,,,,,,,,,,,,,,
196404,0.114617811,0.138395415,0.149428613,0.00108331,0.379753429,,,,,,,,,,,,,,,,,
196405,0.095457216,0.135169492,0.108551724,-0.004328963,0.369631902,,,,,,,,,,,,,,,,,
196406,0.029312755,0.177598385,0.139330544,-0.009206442,0.397126732,,,,,,,,,,,,,,,,,
196407,0.024581182,0.203240272,0.123902175,-0.009660128,0.374648818,,,,,,,,,,,,,,,,,
196408,0.06321631,0.128689655,0.117438208,0.02496843,0.372986577,,,,,,,,,,,,,,,,,
196409,0.066407764,0.174058577,0.122100773,-0.019882621,0.479957806,,,,,,,,,,,,,,,,,
196410,0.085340566,0.146601811,0.101505711,0.000117841,0.475312935,,,,,,,,,,,,,,,,,
196411,0.081736096,0.152806227,0.085089974,0.013384491,0.448524365,,,,,,,,,,,,,,,,,
196412,0.086745855,0.129698747,0.07305647,0.004139309,0.41509434,,,,,,,,,,,,,,,,,
196501,0.058984065,0.13655244,0.101938082,-0.025626656,0.574536954,,,,,,,,,,,,,,,,,
196502,0.042435698,0.12377892,0.087843723,0.00809265,0.557911618,,,,,,,,,,,,,,,,,
196503,0.035011273,0.090909091,0.05471906,0.02142938,0.556920853,,,,,,,,,,,,,,,,,
196504,0.021647068,0.121444752,0.071291176,-0.025521662,0.638955306,,,,,,,,,,,,,,,,,
196505,-0.026240406,0.100161752,0.080532812,0.015646494,0.583736342,,,,,,,,,,,,,,,,,
196506,0.007343394,0.029746603,-0.000712758,0.059234188,0.477863668,,,,,,,,,,,,,,,,,
196507,-0.019544596,0.02488579,0.004595805,-0.006941477,0.535759323,,,,,,,,,,,,,,,,,
196508,-0.122756954,0.065257241,0.032575219,-0.015845407,0.530372191,,,,,,,,,,,,,,,,,
196509,-0.16129038,0.06866239,0.061474926,-0.024891864,0.680866966,,,,,,,,,,,,,,,,,
196510,-0.141819891,0.089087909,0.055504797,-0.019298951,0.731035774,,,,,,,,,,,,,,,,,
196511,-0.129904563,0.085169391,0.047809676,0.0163705,0.649441844,,,,,,,,,,,,,,,,,
196512,-0.140308451,0.090619469,0.072771588,-0.001529886,0.590604027,,,,,,,,,,,,,,,,,
196601,-0.069893055,0.060758337,0.042307261,0.002472355,0.503399158,,,,,,,,,,,,,,,,,
196602,-0.049897991,0.043348965,0.031667044,0.025629864,0.437894073,,,,,,,,,,,,,,,,,
196603,0.010812121,0.035631383,0.060746553,0.029709901,0.371503228,,,,,,,,,,,,,,,,,
196604,0.03188253,0.021883066,0.068152493,-0.01421017,0.394273465,,,,,,,,,,,,,,,,,
196605,0.03367706,-0.025899118,-0.01193071,0.06351437,0.294020433,,,,,,,,,,,,,,,,,
196606,0.067307872,0.007370423,-0.058025789,0.022436575,0.31095297,,,,,,,,,,,,,,,,,
196607,0.125198324,-0.019354839,-0.095433889,0.020799872,0.252246854,,,,,,,,,,,,,,,,,
196608,0.194354362,-0.115521395,-0.158388822,0.091915262,0.132657558,,,,,,,,,,,,,,,,,
196609,0.233642063,-0.148955091,-0.171697501,0.014071085,0.147310055,,,,,,,,,,,,,,,,,
196610,0.157706871,-0.132222463,-0.136520241,-0.047599651,0.168755465,,,,,,,,,,,,,,,,,
196611,0.155658909,-0.121820762,-0.118066214,-0.005389451,0.128014582,,,,,,,,,,,,,,,,,
196612,0.183088929,-0.130909878,-0.099742239,-0.000838699,0.122711391,,,,,,,,,,,,,,,,,
196701,0.062978594,-0.06750646,-0.048868878,-0.069277272,0.258134805,,,,,,,,,,,,,,,,,
196702,0.029296974,-0.048673537,0.007546732,0.001506443,0.240423099,,,,,,,,,,,,,,,,,
196703,0,0.010870783,0.064432381,-0.034586732,0.296908699,,,,,,,,,,,,,,,,,
196704,0.03737387,0.032396222,0.124521531,-0.040527603,0.440987124,,,,,,,,,,,,,,,,,
196705,0.102347449,0.034250551,0.15538262,0.055343511,0.49387892,,,,,,,,,,,,,,,,,
196706,0.094065724,0.069624734,0.183908046,-0.017210944,0.655525114,,,,,,,,,,,,,,,,,
196707,0.031069048,0.133373206,0.181421446,-0.04116718,0.627168126,,,,,,,,,,,,,,,,,
196708,0.054247065,0.214526589,0.163952766,0.01415144,0.583897158,,,,,,,,,,,,,,,,,
196709,0.059803152,0.263192268,0.203908876,-0.029517599,0.718677803,,,,,,,,,,,,,,,,,
196710,0.096471283,0.170822943,0.084170419,0.029925453,0.661358811,,,,,,,,,,,,,,,,,
196711,0.142256516,0.168427595,0.083198894,-0.00106383,0.509797623,,,,,,,,,,,,,,,,,
196712,0.073811759,0.2009212,0.069512195,-0.025603815,0.528843106,,,,,,,,,,,,,,,,,
196801,0.110432195,0.065004041,-0.018827784,0.049440337,0.393353474,,,,,,,,,,,,,,,,,
196802,0.093619975,0.029730353,0.003143242,0.035752152,0.389951781,,,,,,,,,,,,,,,,,
196803,0.118127889,0,-0.004854369,-0.005942954,0.354964699,,,,,,,,,,,,,,,,,
196804,0.060630649,0.038081055,0.029973615,-0.071557901,0.398137536,,,,,,,,,,,,,,,,,
196805,0.047302773,0.107768298,0.053823152,-0.006573768,0.393785311,,,,,,,,,,,,,,,,,
196806,-0.018957433,0.098631951,0.029676352,-0.004610306,0.435490846,,,,,,,,,,,,,,,,,
196807,-0.06237185,0.031556728,0.040894569,0.023357354,0.413857949,,,,,,,,,,,,,,,,,
196808,-0.034473754,0.055745408,0.051702128,-0.006917942,0.363586207,,,,,,,,,,,,,,,,,
196809,-0.097630977,0.061627546,0.064268685,-0.032864,0.431938633,,,,,,,,,,,,,,,,,
196810,-0.06151952,0.101277955,0.121097138,-0.002797953,0.397243616,,,,,,,,,,,,,,,,,
196811,-0.144279838,0.15287234,0.212735004,-0.041567536,0.479857982,,,,,,,,,,,,,,,,,
196812,-0.1206033,0.076604126,0.151441242,0.047963879,0.384430818,,,,,,,,,,,,,,,,,
196901,-0.191939548,0.116760624,0.055538477,0.011535833,0.337097612,,,,,,,,,,,,,,,,,
196902,-0.092054505,0.098142346,-0.005573571,0.053138164,0.261311054,,,,,,,,,,,,,,,,,
196903,-0.12446723,0.125388027,0.019381402,-0.030168724,0.285262092,,,,,,,,,,,,,,,,,
196904,-0.24055729,0.062506404,0.060875793,-0.01786622,0.3049333,,,,,,,,,,,,,,,,,
196905,-0.301240942,0.0484394,0.046530447,0.005445664,0.287296255,,,,,,,,,,,,,,,,,
196906,-0.295387458,-0.018778871,-0.04831012,0.062241353,0.196107235,,,,,,,,,,,,,,,,,
196907,-0.162589395,-0.060466544,-0.111981433,0.066309001,0.103991344,,,,,,,,,,,,,,,,,
196908,-0.158382565,-0.033886304,-0.118667528,-0.036506947,0.167175852,,,,,,,,,,,,,,,,,
196909,-0.100575305,-0.093016461,-0.103408434,0.027852033,0.106200998,,,,,,,,,,,,,,,,,
196910,-0.155334021,-0.05966541,-0.056013979,-0.041366163,0.145887344,,,,,,,,,,,,,,,,,
196911,-0.073067129,-0.134354526,-0.044023234,0.037680925,0.111229566,,,,,,,,,,,,,,,,,
196912,0.000977146,-0.113614481,-0.093094276,0.02007461,0.086253687,,,,,,,,,,,,,,,,,
197001,0.120210887,-0.174643239,-0.180055936,0.083934822,-0.02900868,,,,,,,,,,,,,,,,,
197002,0.077891707,-0.087944563,-0.134931374,-0.04903484,0.023676084,,,,,,,,,,,,,,,,,
197003,0.112575306,-0.117032805,-0.082693685,-0.000409824,0.040273909,,,,,,,,,,,,,,,,,
197004,0.243061625,-0.213810396,-0.112272678,0.100629363,-0.085175626,,,,,,,,,,,,,,,,,
197005,0.263519202,-0.260100522,-0.198513245,0.066065889,-0.134245646,,,,,,,,,,,,,,,,,
197006,0.315549227,-0.255756831,-0.219072165,0.053761293,-0.135520685,,,,,,,,,,,,,,,,,
197007,0.202613946,-0.150059893,-0.197346771,-0.067322689,-0.084457478,,,,,,,,,,,,,,,,,
197008,0.194574446,-0.146476809,-0.131009487,-0.041543631,-0.064815877,,,,,,,,,,,,,,,,,
197009,0.155117183,-0.09568299,-0.085270476,-0.030941475,-0.063917297,,,,,,,,,,,,,,,,,
197010,0.123890473,-0.143870835,-0.020818631,0.006236053,-0.099220948,,,,,,,,,,,,,,,,,
197011,0.074984063,-0.070461571,-0.025698324,-0.050292351,-0.048138849,,,,,,,,,,,,,,,,,
197012,0.102437093,0.000977623,0.028115586,-0.058722921,-0.003029319,,,,,,,,,,,,,,,,,
197101,0.0807164,0.127734651,0.176153091,-0.041963614,0.032299742,,,,,,,,,,,,,,,,,
197102,0.096671714,0.081005587,0.263879817,-0.012158407,0.06062267,,,,,,,,,,,,,,,,,
197103,0.066430858,0.119156532,0.37940044,-0.038581359,0.124173484,,,,,,,,,,,,,,,,,
197104,0.03516098,0.275147203,0.331838565,-0.036040772,0.141555019,,,,,,,,,,,,,,,,,
197105,0.09473516,0.301502286,0.222154073,0.042218571,0.156739812,,,,,,,,,,,,,,,,,
197106,0.071970713,0.371012101,0.1839449,-0.001764744,0.176540005,,,,,,,,,,,,,,,,,
197107,0.116503475,0.224599616,0.148108108,0.04199485,0.143301435,,,,,,,,,,,,,,,,,
197108,0.114917849,0.214793916,0.135665138,-0.035897621,0.284435798,,,,,,,,,,,,,,,,,
197109,0.117037045,0.167794799,0.067173087,0.005942166,0.284482759,,,,,,,,,,,,,,,,,
197110,0.16900322,0.131891892,-0.017209011,0.041353824,0.174937656,,,,,,,,,,,,,,,,,
197111,0.216161043,0.077866972,-0.028527132,0.000407434,0.168303294,,,,,,,,,,,,,,,,,
197112,0.145253486,0.107867607,0.017744991,-0.081346636,0.270882609,,,,,,,,,,,,,,,,,
197201,0.110034969,0.084063413,-9.62E-05,-0.01779873,0.200092368,,,,,,,,,,,,,,,,,
197202,0.046835593,0.101498708,0.069657734,-0.024678615,0.228047937,,,,,,,,,,,,,,,,,
197203,0.039507698,0.06868707,0.075225677,-0.005876866,0.188470067,,,,,,,,,,,,,,,,,
197204,-0.006522573,0.035786436,0.126490898,-0.00436519,0.145303691,,,,,,,,,,,,,,,,,
197205,-0.042714438,0.09936766,0.106028476,-0.016981649,0.229568927,,,,,,,,,,,,,,,,,
197206,-0.027248611,0.074623872,0.089485459,0.022307262,0.182038835,,,,,,,,,,,,,,,,,
197207,0.007699124,0.123561415,0.139658283,-0.001255547,0.133403694,,,,,,,,,,,,,,,,,
197208,-0.063548823,0.121781278,0.181934248,-0.032236872,0.186351986,,,,,,,,,,,,,,,,,
197209,-0.019363104,0.124161074,0.082868058,0.005962485,0.143108262,,,,,,,,,,,,,,,,,
197210,-0.029929009,0.184123952,0.073503945,-0.001735942,0.18828541,,,,,,,,,,,,,,,,,
197211,-0.195417999,0.241302266,0.094773388,-0.03641593,0.241170213,,,,,,,,,,,,,,,,,
197212,-0.190743196,0.156332648,0.101212687,-0.004325129,0.223696486,,,,,,,,,,,,,,,,,
197301,-0.183580644,0.116317106,0.077644655,0.019573304,0.257914137,,,,,,,,,,,,,,,,,
197302,-0.149000403,0.047949704,0.019629325,0.041122802,0.249776186,,,,,,,,,,,,,,,,,
197303,-0.171121953,0.040298507,0.04088109,0.0035558,0.236363636,,,,,,,,,,,,,,,,,
197304,-0.169300225,-0.006501347,-0.003910979,0.048027511,0.096116405,,,,,,,,,,,,,,,,,
197305,-0.184362705,-0.041815028,-0.055270501,0.024556673,0.063538711,,,,,,,,,,,,,,,,,
197306,-0.192540483,-0.026880717,-0.056897332,0.011865946,0.046997389,,,,,,,,,,,,,,,,,
197307,-0.310801968,0.007728839,-0.030112923,-0.031595571,0.107223245,,,,,,,,,,,,,,,,,
197308,-0.368044575,-0.061571699,-0.106454101,0.043405523,0.054521546,,,,,,,,,,,,,,,,,
197309,-0.534435175,-0.019176843,-0.081490894,-0.033614855,0.056102075,,,,,,,,,,,,,,,,,
197310,-0.382099986,-0.029485571,-0.066706886,0.012530576,0.047190794,,,,,,,,,,,,,,,,,
197311,-0.315864859,-0.177509214,-0.140759312,0.14098167,-0.114515087,,,,,,,,,,,,,,,,,
197312,-0.352655793,-0.173655231,-0.12526901,-0.005501076,-0.060754862,,,,,,,,,,,,,,,,,
197401,-0.226722486,-0.167715246,-0.097223521,0.016125287,-0.062518202,,,,,,,,,,,,,,,,,
197402,-0.164930531,-0.138431232,-0.083182468,0.009541247,-0.019463976,,,,,,,,,,,,,,,,,
197403,-0.119913416,-0.157281205,-0.098599655,0.029822197,-0.074179884,,,,,,,,,,,,,,,,,
197404,-0.033897733,-0.155744601,-0.165496211,0.046688023,-0.12903848,,,,,,,,,,,,,,,,,
197405,0.04338516,-0.168365889,-0.162781775,0.040696874,-0.156388943,,,,,,,,,,,,,,,,,
197406,0.101527598,-0.175139075,-0.20686157,0.020716386,-0.119844438,,,,,,,,,,,,,,,,,
197407,0.112459204,-0.267141009,-0.267614738,0.093646991,-0.136338887,,,,,,,,,,,,,,,,,
197408,0.185780571,-0.307913669,-0.248124218,0.108579663,-0.244581719,,,,,,,,,,,,,,,,,
197409,0.277598352,-0.413999816,-0.348641722,0.145074058,-0.317654639,,,,,,,,,,,,,,,,,
197410,0.186372879,-0.317573183,-0.234751993,-0.13939909,-0.240024681,,,,,,,,,,,,,,,,,
197411,0.265426819,-0.270842018,-0.272812305,0.05716628,-0.25413069,,,,,,,,,,,,,,,,,
197412,0.274209282,-0.297180933,-0.270483082,0.021502305,-0.255268303,,,,,,,,,,,,,,,,,
197501,0.270187769,-0.20285803,-0.147602702,-0.103614763,-0.094565984,,,,,,,,,,,,,,,,,
197502,0.200559267,-0.152047391,-0.065192484,-0.050408723,-0.088379888,,,,,,,,,,,,,,,,,
197503,0.209324904,-0.113002767,-0.030697674,-0.014979533,-0.069954256,,,,,,,,,,,,,,,,,
197504,0.152086696,-0.033329642,0.100743916,-0.041671308,0.070902846,,,,,,,,,,,,,,,,,
197505,0.094462067,0.044340055,0.263340263,-0.038753691,0.190725016,,,,,,,,,,,,,,,,,
197506,0.091204695,0.106860465,0.498111426,-0.038996325,0.308993399,,,,,,,,,,,,,,,,,
197507,0.153168306,0.119026604,0.200947226,0.07256338,0.137091608,,,,,,,,,,,,,,,,,
197508,0.169326964,0.204158004,0.241675004,0.021523941,0.065750736,,,,,,,,,,,,,,,,,
197509,0.226975475,0.319955933,0.223308051,0.035888876,-0.004037525,,,,,,,,,,,,,,,,,
197510,0.144671936,0.204871448,0.156664069,-0.060602703,0.06954955,,,,,,,,,,,,,,,,,
197511,0.112459328,0.303987423,0.118274298,-0.026749766,0.046330275,,,,,,,,,,,,,,,,,
197512,0.175200129,0.315490082,0.081933781,0.008900511,-0.021269669,,,,,,,,,,,,,,,,,
197601,0.011533471,0.310210444,0.15532646,-0.104988331,0.051939925,,,,,,,,,,,,,,,,,
197602,0.001102591,0.22208604,0.093911135,0.012467179,0.030594315,,,,,,,,,,,,,,,,,
197603,-0.043249446,0.232845489,0.079630213,-0.028906769,0.024523976,,,,,,,,,,,,,,,,,
197604,-0.031989933,0.164261168,0.145239437,0.017502234,-0.022222222,,,,,,,,,,,,,,,,,
197605,-0.041371157,0.099067471,0.153084715,0.020967279,0.005520426,,,,,,,,,,,,,,,,,
197606,-0.037120886,0.095493224,0.243352808,-0.033326935,0.045937813,,,,,,,,,,,,,,,,,
197607,-0.045388185,0.165521127,0.161725067,0.016164165,0.082234777,,,,,,,,,,,,,,,,,
197608,-0.061517791,0.184507366,0.127904428,0.013106465,0.039180046,,,,,,,,,,,,,,,,,
197609,-0.086389615,0.254799094,0.166869941,-0.014460341,0.070164735,,,,,,,,,,,,,,,,,
197610,-0.108280226,0.155660377,0.020226056,0.040459172,0.092008914,,,,,,,,,,,,,,,,,
197611,-0.07386691,0.119026743,0.023969512,0.024972801,0.086285775,,,,,,,,,,,,,,,,,
197612,-0.122189716,0.191484644,0.045635886,-0.033969335,0.052600646,,,,,,,,,,,,,,,,,
197701,-0.133825467,0.011600238,0.003837072,0.065364174,-0.018375986,,,,,,,,,,,,,,,,,
197702,-0.137000781,0.001103199,-0.003593532,0.033766702,-0.063338651,,,,,,,,,,,,,,,,,
197703,-0.098250895,-0.042327527,-0.05619486,0.02565629,-0.081902985,,,,,,,,,,,,,,,,,
197704,-0.016490362,-0.031483668,-0.0483372,0.013326301,-0.0857249,,,,,,,,,,,,,,,,,
197705,0.011584739,-0.040527051,-0.065979983,0.037786183,-0.12243221,,,,,,,,,,,,,,,,,
197706,-0.050518368,-0.036440353,-0.045229951,-0.030787511,-0.062161658,,,,,,,,,,,,,,,,,
197707,0.018343621,-0.04437355,-0.039358601,0.027377261,-0.079523233,,,,,,,,,,,,,,,,,
197708,0.065203537,-0.059663784,-0.052203722,0.032296369,-0.128904492,,,,,,,,,,,,,,,,,
197709,0.060399125,-0.082763208,-0.101712265,0.012998952,-0.126820443,,,,,,,,,,,,,,,,,
197710,0.00873368,-0.102623907,-0.094972067,0.05854752,-0.172432336,,,,,,,,,,,,,,,,,
197711,-0.001371815,-0.071204701,-0.049989982,-0.014162395,-0.187194652,,,,,,,,,,,,,,,,,
197712,0.010564399,-0.115019542,-0.033732981,0.00941654,-0.194409149,,,,,,,,,,,,,,,,,
197801,0.11302852,-0.125257277,-0.093356359,0.075425908,-0.230802379,,,,,,,,,,,,,,,,,
197802,0.10089283,-0.128030455,-0.094465252,0.034832407,-0.220630372,,,,,,,,,,,,,,,,,
197803,0.129951964,-0.093578541,-0.112161624,-0.015443104,-0.200053802,,,,,,,,,,,,,,,,,
197804,0.049660236,-0.01635514,-0.020435003,-0.071650472,-0.094792933,,,,,,,,,,,,,,,,,
197805,0.018745455,0.011652102,0.004856877,0.003318865,-0.073463554,,,,,,,,,,,,,,,,,
197806,0.074414486,-0.049263535,-0.010359474,0.02556577,-0.083732975,,,,,,,,,,,,,,,,,
197807,0.030615135,0.018512898,0.090318389,-0.044059963,-0.069672889,,,,,,,,,,,,,,,,,
197808,0.056738795,0.067376253,0.089212275,-0.018056749,-0.009208633,,,,,,,,,,,,,,,,,
197809,0.064026395,0.062260437,0.078233438,0.014732683,-0.05432076,,,,,,,,,,,,,,,,,
197810,0.088995451,0.00877193,0.043697479,0.104467194,-0.13980977,,,,,,,,,,,,,,,,,
197811,0.11423339,-0.001370874,0.088005515,-0.013125612,-0.013130471,,,,,,,,,,,,,,,,,
197812,0.116082148,0.0106204,0.077345589,-0.011414402,-0.014761661,,,,,,,,,,,,,,,,,
197901,0.133131032,0.119663866,0.032014871,-0.030012798,0.034793414,,,,,,,,,,,,,,,,,
197902,0.165950923,0.106158088,-0.00987248,0.046719701,0.000623571,,,,,,,,,,,,,,,,,
197903,0.004909672,0.13877368,0.06343557,-0.044310975,0.080974675,,,,,,,,,,,,,,,,,
197904,0.043554108,0.050913973,0.010727056,0.007295168,0.126785517,,,,,,,,,,,,,,,,,
197905,0.115762425,0.018922254,-0.040759028,0.036170864,0.135197067,,,,,,,,,,,,,,,,,
197906,0.104446679,0.077253219,0.003608348,-0.028722858,0.196627907,,,,,,,,,,,,,,,,,
197907,0.158750157,0.031088598,0.114439077,0.001856238,0.308914387,,,,,,,,,,,,,,,,,
197908,0.112851597,0.05837932,0.15438226,-0.040443213,0.515176715,,,,,,,,,,,,,,,,,
197909,0.137707622,0.066120538,0.137446676,0.010397374,0.720491029,,,,,,,,,,,,,,,,,
197910,0.224674494,0.093075684,0.018913239,0.082759198,0.377807848,,,,,,,,,,,,,,,,,
197911,0.280402437,0.121013728,0.102617366,-0.032838261,0.517221666,,,,,,,,,,,,,,,,,
197912,0.229313104,0.123088128,0.062506152,-0.008293708,0.574387398,,,,,,,,,,,,,,,,,
198001,0.126465934,0.14239968,0.121855346,-0.046117543,0.482982593,,,,,,,,,,,,,,,,,
